absurd , criminal_triples/case_60.txt , (Court 's requirement, leads to, patently absurd consequences)
abuse , criminal_triples/case_3.txt , (court, dismissed petition as, abuse of writ)
abused , criminal_triples/case_1.txt , (court, abused, its substantial discretion)
affair , criminal_triples/case_21.txt , (they, return to, their affairs)
aggravate , criminal_triples/case_1.txt , (kind, creates, same potential for arbitrariness as direct weighing of aggravating factor)
agonizing , criminal_triples/case_60.txt , (it, maintain, unconsciousness in face of agonizing stimuli)
alarming , criminal_triples/case_20.txt , (law, creates, criminal prohibition of alarming breadth)
arduous , criminal_triples/case_17.txt , (majority, completed, arduous detour around question)
artificial , criminal_triples/case_72.txt , (majority 's approach, draws, artificial line)
assault , criminal_triples/case_4.txt , (North Carolina, indicted Jimmy Seth Perry on, misdemeanor assault charge)
avoid , criminal_triples/case_1.txt , (person, avoid, enhanced sentence)
awry , criminal_triples/case_75.txt , (something, gone awry in, one 's interpretation of text)
bag , criminal_triples/case_61.txt , (they, found, five bags of marijuana)
below , criminal_triples/case_3.txt , (it, is, below perhaps understandable)
bias , criminal_triples/case_21.txt , (racial bias, is in, deliberations)
bite , criminal_triples/case_35.txt , (it, give, bite at money-damages apple)
bizarre , criminal_triples/case_53.txt , (sweep, is in, bizarre state offenses)
blood , criminal_triples/case_31.txt , (BAC, is typically determined through, direct analysis of blood sample)
botch , criminal_triples/case_79.txt , (Petitioner Whitfield, fleeing, botched bank robbery)
bottom , criminal_triples/case_1.txt , (sentence, sat at, bottom end of applicable Guidelines)
burn , criminal_triples/case_60.txt , (Davontae, had, over 250 distinct injuries including cigarette burns on his frame)
cheat , criminal_triples/case_26.txt , (he, cheat, bank of its property)
chill , criminal_triples/case_30.txt , (result, chill, discourse)
collapse , criminal_triples/case_75.txt , (investors, restore trust following, collapse of Enron Corporation)
coma , criminal_triples/case_60.txt , (coma, 500-milligram dose of, midazolam)
complaint , criminal_triples/case_6.txt , (prisoner 's complaint, is about, ineffectiveness of his counsel)
conceivable , criminal_triples/case_61.txt , (it, left open, conceivable inquiry)
confine , criminal_triples/case_15.txt , (person, is confined without, adequate justification)
conflict , criminal_triples/case_2.txt , (We, resolve, conflict among courts on question)
conspicuous , criminal_triples/case_48.txt , (District Court, is conspicuous for, its position as lowest sentence District Court believed)
contempt , criminal_triples/case_40.txt , (judge, has, dual position as accuser in contempt trials)
contradiction , criminal_triples/case_43.txt , (State, explain away contradiction as, example of prosecutor)
contradictory , criminal_triples/case_61.txt , (majority, has, contradictory interpretation)
