(October 15 2014, Decided at_time, January 14 2015)
(Petitioner Jennings, sought, habeas relief)
(Petitioner Jennings, sought, federal habeas relief)
(counsel, failed to, present evidence of background)
(resignation, see, Smith)
(counsel, failed to, evidence of deprived background)
(counsel, resignation to, death sentence)
(counsel, failed to, evidence of background)
(counsel, failed to, present evidence)
(District Court, granted, relief)
(District Court, granted relief on, his two Wiggins theories)
(counsel, failed to, evidence)
(resignation, see, Spisak)
(counsel, see, 558 U. S. 139)
(counsel, see, Smith)
(resignation, see, 558 U. S. 139)
(counsel, failed to, present evidence of deprived background)
(counsel, see, Spisak)
(State, granted, new sentencing hearing)
(State, commuted, his death sentence)
(court, ordered, Texas)
(State, granted, sentencing hearing)
(State, granted, him)
(Texas, release, Jennings)
(State, granted sentencing hearing within, 120 days)
(State, attacked Wiggins theories on, appeal)
(State, attacked, Wiggins theories)
(Jennings, defended on, three theories)
(Fifth Circuit, reversed, grant)
(Fifth Circuit, reversed, grant of habeas corpus)
(it, lacked, jurisdiction)
(it, lacked, jurisdiction over Spisak claim)
(Fifth Circuit, reversed grant under, two Wiggins theories)
(Jennings, filed, notice)
(Jennings, notice of, appeal)
(Jennings, neither filed, notice of appeal)
(Jennings, filed, notice of appeal)
(Jennings, filed, timely notice)
(Jennings, neither filed, timely notice)
(Jennings, neither filed, notice)
(Jennings, neither filed, timely notice of appeal)
(Jennings, filed, timely notice of appeal)
(Jennings, see, Fed)
(Jennings, timely notice of, appeal)
(cross-appeal, raising, argument)
(doing, would enlarge, his rights)
(doing, lessen, State 's rights)
(District Court, under, judgment)
(State, has, rights under judgment)
(doing, lessen, State 's rights under District Court 's judgment)
(State, at, option)
(Jennings ' rights, commutation within, time)
(Jennings ' rights, were, release)
(his Spisak claim, would give, him)
(Jennings ' rights, were release at, State 's option)
(Jennings ' rights, commutation within, fixed time)
(State 's rights, retain Jennings in, custody)
(State 's rights, retain, Jennings)
(State, has, rights under judgment)
(State, has, rights at retrial)
(District Court 's opinion, entitled Jennings to, only retrial without errors)
(additional basis, asserted by, Jennings)
(District Court 's opinion, entitled Jennings to, retrial without errors)
(District Court 's opinion, entitled Jennings to, only retrial without challenged errors)
(District Court, has, opinion)
(District Court 's opinion, entitled Jennings to, retrial without challenged errors)
(challenged errors, without retrial is, resentencing)
(District Court 's opinion, entitled, Jennings)
(District Court 's opinion, entitled Jennings to, resentencing)
(District Court 's opinion, entitled Jennings to, retrial)
(District Court 's opinion, entitled Jennings to, only retrial)
(view, is contrary to, ordinary behavior)
(view, is contrary to, behavior)
(district court, has, judgment)
(would considerable tension, is with, American Railway)
(Jennings, raise, his Spisak claim on cross-appeal)
(they, were, read)
(his rights, would remain, undisturbed)
(State, requiring, Jennings)
(Jennings, raise, his Spisak claim)
(his rights, even would remain, undisturbed)
(court, under, judgment)
(Alexander, involved, disputes over multiple tax liabilities)
(assertion, enlarge, rights)
(Alexander, involved, disputes over federal tax liabilities)
(Alexander, involved, disputes over multiple discrete federal tax liabilities)
(Alexander, involved, disputes over discrete tax liabilities)
(Pfeiffer, involved, disputes over federal tax liabilities)
(Alexander, involved, disputes over multiple federal tax liabilities)
(Pfeiffer, involved, disputes over discrete federal tax liabilities)
(Pfeiffer, involved, disputes)
(Alexander, involved, disputes)
(Pfeiffer, involved, disputes over discrete tax liabilities)
(Pfeiffer, involved, disputes over tax liabilities)
(Pfeiffer, involved, disputes over multiple federal tax liabilities)
(assertion, enlarge, rights of Internal Revenue Service Commissioner)
(Pfeiffer, involved, disputes over multiple tax liabilities)
(Alexander, involved, disputes over discrete federal tax liabilities)
(Pfeiffer, involved, disputes over multiple discrete federal tax liabilities)
(Alexander, involved, disputes over tax liabilities)
(Alexander, involved, disputes over multiple discrete tax liabilities)
(Pfeiffer, involved, disputes over multiple discrete tax liabilities)
(Jennings, sought, same indivisible relief)
(Jennings, sought, indivisible relief)
(Jennings, sought, same relief)
(Jennings, sought, relief)
(Jennings, prevailing on, single theory)
(Jennings, sought relief, prevailing on single theory)
(Jennings, sought relief, prevailing)
(Jennings, prevailing on, theory)
(Jennings, sought relief In, contrast)
(Jennings, sought relief, prevailing on theory)
(provision, defense of, judgment)
(28 U. S. C. § 2253, has, certificate of appealability requirement)
(certificate, applies to, cross-appeals)
(U. S. C. § 2253 's certificate, applies to, cross-appeals)
(28 U. S. C. § 2253 's certificate, applies to, cross-appeals)
(SCALIA, delivered, opinion)
(GINSBURG, joined, SOTOMAYOR)
(GINSBURG, joined, KAGAN)
(GINSBURG, joined, BREYER)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(JUSTICE SCALIA, delivered, opinion)
(JUSTICE SCALIA, delivered, opinion of Court)
(Petitioner Robert Mitchell Jennings, was sentenced to, death)
(Petitioner Robert Mitchell Jennings, was sentenced to, death for capital murder)
(Petitioner Robert Mitchell Jennings, was, sentenced)
(He, applied on, three theories of ineffective assistance of counsel)
(He, applied for, habeas corpus relief)
(He, applied on, three theories of assistance)
(He, prevailing on, two)
(He, applied on, three theories)
(He, applied on, three theories of ineffective assistance)
(He, applied for, federal habeas corpus relief)
(He, applied on, three theories of assistance of counsel)
(cross-appeal, obtaining, certificate)
(District Court, taking, cross-appeal)
(Jennings, was, permitted)
(cross-appeal, obtaining, certificate of appealability)
(obtaining, certificate of, appealability)
(petitioner Robert Mitchell Jennings, entered, adult bookstore)
(petitioner Robert Mitchell Jennings, entered, bookstore)
(petitioner Robert Mitchell Jennings, commit, robbery)
(petitioner Robert Mitchell Jennings, entered bookstore In, July 1988)
(Officer Elston Howard, was at, by coincidence same establishment)
(Officer Elston Howard, was at, by unhappy coincidence same establishment)
(Officer Elston Howard, was at, by unhappy coincidence establishment)
(Officer Elston Howard, was at, same establishment)
(Officer Elston Howard, was at, by coincidence establishment)
(store, has, clerk)
(Officer Elston Howard, arrest, store 's clerk)
(Officer Elston Howard, was at, establishment)
(Jennings, robbed, store)
(Jennings, shot, Howard)
(Jennings, shot Howard at_time, four times)
(Jennings, Undeterred shot, Howard)
(Jennings, Undeterred shot Howard at_time, four times)
(Howard, died from, his wounds)
(Howard, was merely victim of, Jennings ' criminality)
(Howard, was, merely victim)
(Howard, was, merely most recent victim)
(Howard, was recent victim of, Jennings ' criminality)
(Howard, was merely recent victim of, Jennings ' criminality)
(Howard, was merely most recent victim of, Jennings ' criminality)
(Howard, was, recent victim)
(Howard, was, most recent victim)
(Howard, was, merely recent victim)
(Howard, was victim of, Jennings ' criminality)
(Howard, was most recent victim of, Jennings ' criminality)
(Howard, was, victim)
(State, adjudicated, Jennings delinquent)
(State, adjudicated, Jennings delinquent at 14)
(State, convicted, him)
(Jennings, delinquent at, 14)
(He, murdered Officer Howard at_time, only two months)
(He, murdered Officer Howard at_time, only two months after his recent release from prison)
(He, murdered Officer Howard at_time, only two months after his most recent release from prison)
(He, murdered Officer Howard at_time, only two months after his most recent release)
(He, murdered Officer Howard at_time, only two months after his recent release)
(He, murdered Officer Howard at_time, only two months after his release)
(He, murdered, Officer Howard)
(He, murdered Officer Howard at_time, only two months after his release from prison)
(Jennings, was, arrested)
(State, sought, death penalty)
(Jennings, convicted of, capital murder)
(State, introduced, evidence of Jennings ' lengthy criminal history)
(State, introduced, evidence of Jennings ' criminal history)
(State, introduced, evidence)
(State, introduced, evidence of Jennings ' history)
(State, introduced evidence During, punishment phase)
(State, introduced, evidence of Jennings ' lengthy history)
(Jennings ' attorney, acknowledged, difficulty of his sentencing defense in his closing remarks)
(Jennings ' attorney, acknowledged, difficulty of his sentencing defense)
(Jennings ' attorney, pleading for, mercy for his client)
(Jennings ' attorney, acknowledged, difficulty)
(Jennings ' attorney, nonetheless pleading for, mercy)
(Jennings ' attorney, nonetheless pleading for, mercy for his client)
(his sentencing defense, is in, his closing remarks)
(Jennings ' attorney, pleading for, mercy)
(Jennings, acted in, murder)
(he, threat to, society)
(Jennings, acted deliberately in, murder)
(he, would present, continuing threat to society)
(he, would present, threat to society)
(he, would present, continuing threat)
(he, continuing threat to, society)
(he, would present, threat)
(trial court, sentenced Jennings to, death)
(trial court, sentenced, Jennings)
(Texas courts, affirmed, sentence)
(Texas courts, affirmed, Jennings ' conviction)
(Texas courts, denied, postconviction relief)
(Jennings, applied, three theories of assistance in punishment phase)
(Jennings, applied, three theories of assistance of counsel in punishment phase)
(Jennings, applied, three theories of assistance)
(Jennings, applied, three theories of assistance of counsel)
(ineffective assistance, is in, punishment phase of his trial)
(Jennings, applied, three theories of assistance in punishment phase of his trial)
(Jennings, applied, three theories of ineffective assistance of counsel)
(Jennings, applied, three theories of ineffective assistance of counsel in punishment phase of his trial)
(Jennings, applied, three theories of ineffective assistance of counsel in punishment phase)
(three theories, asserting as, relevant here)
(Jennings, applied, three theories of ineffective assistance)
(Jennings, applied, three theories of ineffective assistance in punishment phase)
(Jennings, applied, three theories of assistance of counsel in punishment phase of his trial)
(three theories, asserting as, relevant)
(Jennings, applied, three theories)
(Jennings, applied, three theories of ineffective assistance in punishment phase of his trial)
(mother, of, rape)
(Jennings, offered, his mother)
(Jennings, offered, sister)
(Jennings, offered sister as, witnesses)
(trial counsel, was ineffective for, failure investigate)
(trial counsel, was, ineffective)
(Jennings, suffered from, mild retardation)
(Jennings, suffered from, mental retardation)
(His trial attorney, admitted in, affidavit)
(Jennings, suffered from, mild mental retardation)
(he, failed, review)
(Jennings, suffered from, retardation)
(Jennings, feigning, mental illness)
(Jennings, feigning, illness)
(Jennings, investigated, Jennings ' mental health problems)
(Jennings, investigated, Jennings ' health problems)
(Jennings, presented, evidence of impairment in punishment phase)
(Jennings, presented, evidence of mental impairment)
(mental impairment, is in, punishment phase)
(Jennings, presented, evidence of impairment)
(Jennings, presented, evidence of mental impairment in punishment phase)
(trial counsel, examined, Jennings ' case files)
(Jennings, presented, evidence)
(trial counsel, examined, Jennings ' prior case files)
(counsel, was, ineffective)
(counsel, was, constitutionally ineffective)
(remark, expressed, resignation to propriety)
(remark, expressed resignation According to, Jennings)
(remark, expressed, resignation to even propriety)
(remark, expressed, resignation)
